country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB","08-11-2025 15:00:00",25.262326,82.995408,PM10,38,121,82
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB","08-11-2025 15:00:00",25.262326,82.995408,SO2,23,33,26
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB","08-11-2025 15:00:00",25.262326,82.995408,CO,6,26,9
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB","08-11-2025 15:00:00",25.32393,82.99687,SO2,28,29,29
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB","08-11-2025 15:00:00",25.32393,82.99687,CO,14,29,17
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB","08-11-2025 15:00:00",27.5714090,77.6557570,SO2,10,19,11
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB","08-11-2025 15:00:00",23.6181830,87.1057180,CO,8,45,14
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB","08-11-2025 15:00:00",23.616515,87.119133,NO2,11,48,20
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB","08-11-2025 15:00:00",23.616515,87.119133,NH3,2,4,3
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB","08-11-2025 15:00:00",22.7605581,88.3617589,SO2,9,13,11
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB","08-11-2025 15:00:00",23.567923,87.306843,PM2.5,33,81,50
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB","08-11-2025 15:00:00",23.567923,87.306843,NO2,8,44,18
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB","08-11-2025 15:00:00",25.425602,81.917152,PM10,62,170,110
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB","08-11-2025 15:00:00",25.494,81.863,NO2,12,12,12
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB","08-11-2025 15:00:00","25.44919916 ","81.82735986 ",PM10,64,259,130
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB","08-11-2025 15:00:00","25.44919916 ","81.82735986 ",NO2,5,5,5
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB","08-11-2025 15:00:00","25.44919916 ","81.82735986 ",CO,22,78,31
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB","08-11-2025 15:00:00",25.3505986,82.9083074,SO2,18,19,18
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB","08-11-2025 15:00:00",25.3505986,82.9083074,CO,8,15,10
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","08-11-2025 15:00:00",29.063510,77.709723,PM2.5,67,450,314
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","08-11-2025 15:00:00",29.063510,77.709723,SO2,11,35,22
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","08-11-2025 15:00:00",29.063510,77.709723,CO,4,66,28
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB","08-11-2025 15:00:00",28.840739,78.697531,SO2,7,34,19
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB","08-11-2025 15:00:00",28.840739,78.697531,OZONE,20,142,70
